tradeDate,symbol,securityName,marginPurchaseBalance,shortSaleBalance,marginPurchasePreviousDayBalance,shortSalePreviousDayBalance,sourceIdentity,sourceRetrievedAt
2020-01-02,0056,元大高股息,1648,227,1695,230,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-03,0056,元大高股息,1612,212,1648,227,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-06,0056,元大高股息,1619,211,1612,212,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-07,0056,元大高股息,1564,214,1619,211,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-08,0056,元大高股息,1594,208,1564,214,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-09,0056,元大高股息,1522,207,1594,208,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-10,0056,元大高股息,1512,207,1522,207,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-13,0056,元大高股息,1516,208,1512,207,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-14,0056,元大高股息,1718,207,1516,208,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-15,0056,元大高股息,1714,163,1718,207,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-16,0056,元大高股息,1340,163,1714,163,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-17,0056,元大高股息,1283,164,1340,163,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-20,0056,元大高股息,1291,164,1283,164,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-30,0056,元大高股息,1954,137,1291,164,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-01-31,0056,元大高股息,1824,212,1954,137,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-03,0056,元大高股息,2118,269,1824,212,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-04,0056,元大高股息,2131,280,2118,269,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-05,0056,元大高股息,2078,294,2131,280,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-06,0056,元大高股息,2311,316,2078,294,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-07,0056,元大高股息,2315,317,2311,316,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-10,0056,元大高股息,2214,313,2315,317,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-11,0056,元大高股息,2137,308,2214,313,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-12,0056,元大高股息,2067,308,2137,308,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-13,0056,元大高股息,1965,314,2067,308,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-14,0056,元大高股息,1883,314,1965,314,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-17,0056,元大高股息,1743,306,1883,314,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-18,0056,元大高股息,1655,309,1743,306,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-19,0056,元大高股息,1657,312,1655,309,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-20,0056,元大高股息,1621,300,1657,312,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-21,0056,元大高股息,1759,302,1621,300,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-24,0056,元大高股息,1712,308,1759,302,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-25,0056,元大高股息,1454,289,1712,308,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-26,0056,元大高股息,1703,287,1454,289,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-02-27,0056,元大高股息,2117,281,1703,287,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-03-02,0056,元大高股息,2384,246,2117,281,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
2020-03-03,0056,元大高股息,2488,251,2384,246,TWSE_MI_MARGN_DAILY_MARGIN_TRADING,2026-08-20T07:48:39.119Z
