tradeDate,symbol,securityName,issuedShares,foreignHeldShares,foreignHoldingRatio,foreignRemainingInvestableShares,foreignRemainingInvestableRatio,statutoryInvestmentLimitRatio,sourceIdentity,sourceRetrievedAt
2020-01-02,0056,元大高股息,1075034000,4112628,0.38,1070921372,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-03,0056,元大高股息,1066034000,4116808,0.38,1061917192,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-06,0056,元大高股息,1067034000,4117876,0.38,1062916124,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-07,0056,元大高股息,1080534000,4125876,0.38,1076408124,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-08,0056,元大高股息,1089034000,4093876,0.37,1084940124,99.62,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-09,0056,元大高股息,1091534000,4097201,0.37,1087436799,99.62,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-10,0056,元大高股息,1093034000,4100201,0.37,1088933799,99.62,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-13,0056,元大高股息,1093034000,4104201,0.37,1088929799,99.62,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-14,0056,元大高股息,1093034000,4144201,0.37,1088889799,99.62,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-15,0056,元大高股息,1094034000,4186201,0.38,1089847799,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-16,0056,元大高股息,1096034000,4185201,0.38,1091848799,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-17,0056,元大高股息,1100534000,4193201,0.38,1096340799,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-20,0056,元大高股息,1101034000,4193201,0.38,1096840799,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-21,0056,元大高股息,1101034000,4193201,0.38,1096840799,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-22,0056,元大高股息,1101034000,4193201,0.38,1096840799,99.61,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-30,0056,元大高股息,1205534000,4273381,0.35,1201260619,99.64,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-01-31,0056,元大高股息,1235534000,4303381,0.34,1231230619,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-03,0056,元大高股息,1269034000,4321381,0.34,1264712619,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-04,0056,元大高股息,1272034000,4321381,0.33,1267712619,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-05,0056,元大高股息,1274034000,4326381,0.33,1269707619,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-06,0056,元大高股息,1272034000,4330381,0.34,1267703619,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-07,0056,元大高股息,1275034000,4332381,0.33,1270701619,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-10,0056,元大高股息,1282534000,4336381,0.33,1278197619,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-11,0056,元大高股息,1282534000,4336381,0.33,1278197619,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-12,0056,元大高股息,1278034000,4340450,0.33,1273693550,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-13,0056,元大高股息,1272034000,4350500,0.34,1267683500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-14,0056,元大高股息,1268534000,4355500,0.34,1264178500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-17,0056,元大高股息,1264034000,4356500,0.34,1259677500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-18,0056,元大高股息,1261534000,4358500,0.34,1257175500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-19,0056,元大高股息,1258534000,4358500,0.34,1254175500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-20,0056,元大高股息,1256034000,4364500,0.34,1251669500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-21,0056,元大高股息,1255534000,4362500,0.34,1251171500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-24,0056,元大高股息,1261034000,4362500,0.34,1256671500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-25,0056,元大高股息,1261534000,4362500,0.34,1257171500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-26,0056,元大高股息,1289034000,4401500,0.34,1284632500,99.65,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-02-27,0056,元大高股息,1339034000,4456500,0.33,1334577500,99.66,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
2020-03-02,0056,元大高股息,1375534000,4464500,0.32,1371069500,99.67,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-20T13:54:35.121Z
