tradeDate,symbol,securityName,issuedShares,foreignHeldShares,foreignHoldingRatio,foreignRemainingInvestableShares,foreignRemainingInvestableRatio,statutoryInvestmentLimitRatio,sourceIdentity,sourceRetrievedAt
2020-01-02,0050,元大台灣50,687000000,191493479,27.87,495506521,72.12,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-02,2317,鴻海,13862990609,6482600804,46.76,7380389805,53.23,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-02,2330,台積電,25930380458,20318688414,78.35,5611692044,21.64,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-02,2454,聯發科,1589682512,1001227752,62.98,588454760,37.01,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-03,0050,元大台灣50,669500000,171600479,25.63,497899521,74.36,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-03,2317,鴻海,13862990609,6489999546,46.81,7372991063,53.18,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-03,2330,台積電,25930380458,20323712399,78.37,5606668059,21.62,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-03,2454,聯發科,1589682512,999402589,62.86,590279923,37.13,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-06,0050,元大台灣50,669500000,169579579,25.32,499920421,74.67,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-06,2317,鴻海,13862990609,6489142747,46.8,7373847862,53.19,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-06,2330,台積電,25930380458,20307992609,78.31,5622387849,21.68,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-06,2454,聯發科,1589682512,997862151,62.77,591820361,37.22,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-07,0050,元大台灣50,669500000,168752079,25.2,500747921,74.79,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-07,2317,鴻海,13862990609,6484555211,46.77,7378435398,53.22,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-07,2330,台積電,25930380458,20294292747,78.26,5636087711,21.73,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-07,2454,聯發科,1589682512,996361347,62.67,593321165,37.32,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-08,0050,元大台灣50,660500000,155536079,23.54,504963921,76.45,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-08,2317,鴻海,13862990609,6478277660,46.73,7384712949,53.26,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-08,2330,台積電,25930380458,20295939752,78.27,5634440706,21.72,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-08,2454,聯發科,1589682512,997162615,62.72,592519897,37.27,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-09,0050,元大台灣50,660500000,155492079,23.54,505007921,76.45,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-09,2317,鴻海,13862990609,6478732678,46.73,7384257931,53.26,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-09,2330,台積電,25930380458,20307104408,78.31,5623276050,21.68,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-09,2454,聯發科,1589682512,997519441,62.74,592163071,37.25,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-10,0050,元大台灣50,666500000,153706079,23.06,512793921,76.93,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-10,2317,鴻海,13862990609,6493442954,46.84,7369547655,53.15,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-10,2330,台積電,25930380458,20310469507,78.32,5619910951,21.67,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-10,2454,聯發科,1589682512,996359047,62.67,593323465,37.32,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-13,0050,元大台灣50,666500000,153369079,23.01,513130921,76.98,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
2020-01-13,2317,鴻海,13862990609,6499710341,46.88,7363280268,53.11,100,TWSE_MI_QFIIS_DAILY_FOREIGN_INVESTMENT,2026-08-21T09:59:05.591Z
